,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
210,Kodiak,57.79,-152.4072,53.33,58,37,6.33,US,scattered clouds
211,Mar Del Plata,-38.0023,-57.5575,59.02,53,0,4.0,AR,clear sky
212,Broome,42.2506,-75.833,88.18,41,1,8.01,US,clear sky
213,Berbera,10.4396,45.0143,91.36,56,0,2.77,SO,clear sky
214,Kalmunai,7.4167,81.8167,78.42,82,77,3.96,LK,broken clouds
215,Antofagasta,-23.65,-70.4,62.51,78,7,7.96,CL,clear sky
216,Boa Vista,2.8197,-60.6733,84.18,74,20,8.05,BR,few clouds
217,Turukhansk,65.8167,87.9833,31.78,91,100,20.98,RU,light snow
218,Guerrero Negro,27.9769,-114.0611,74.14,49,21,16.93,MX,few clouds
219,Moree,-29.4667,149.85,43.83,70,10,6.55,AU,clear sky
220,Nemuro,43.3236,145.575,53.19,85,57,15.75,JP,broken clouds
221,Klaksvik,62.2266,-6.589,50.92,93,91,13.4,FO,overcast clouds
222,Annapolis,38.9785,-76.4922,94.01,49,8,1.99,US,clear sky
223,Uporovo,56.3109,66.2693,51.73,72,7,7.09,RU,clear sky
224,Roma,43.2128,-75.4557,91.26,45,1,10.36,US,clear sky
225,Provideniya,64.3833,-173.3,37.49,83,98,8.95,RU,overcast clouds
226,Bengkulu,-3.8004,102.2655,75.16,92,20,3.94,ID,few clouds
227,Aleksandrovka,46.8383,32.7612,60.01,68,46,5.93,UA,scattered clouds
228,Porto Novo,6.4965,2.6036,77.7,85,100,5.01,BJ,overcast clouds
229,Saint George,37.1041,-113.5841,106.27,10,0,5.01,US,clear sky
230,Kavali,14.9167,79.9833,81.43,73,85,6.11,IN,overcast clouds
231,Yarada,17.65,83.2667,85.46,76,55,13.11,IN,broken clouds
232,Sechura,-5.5569,-80.8222,75.47,63,99,16.22,PE,overcast clouds
233,Linxia,35.6003,103.2064,58.28,30,96,3.22,CN,overcast clouds
234,Key Largo,25.0865,-80.4473,86.02,72,90,12.68,US,overcast clouds
235,Silopi,37.2497,42.4694,74.68,22,0,0.4,TR,clear sky
236,Lalmohan,22.3384,90.7419,84.78,82,100,13.13,BD,overcast clouds
